3575$,19UUA8F51EA003590,2014 Acura Tl Tech,#36569793,IAAI,США,Oh - Columbus,Insurance company,B / 65,2023-05-24,13:30:00,Oh - Salvage,Collision,Front & Rear,-,Run and drive,81891 mi / actual,15517$,0$,Automobile,2014,Acura,Tl Tech,Black,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
0$,5FRYD4H43EB504393,2014 Acura Mdx Technology,#11694974,IAAI CA,Канада,Montreal,-,2 / 194,2023-05-23,14:00:00,Qc - V.g.a,Collision,Front,Right Front,Run and drive,153020 km / actual,23185$,25376$,Suv,2014,Acura,Mdx Technology,Black,-,-,-,3.5 L 6 cyl,Auto
1250$,19VDE1F70EE004229,2014 Acura Ilx 20 Tech,#45799063,Copart,США,Md - Baltimore East,Third party,C / 3062,2023-05-23,14:00:00,Md - Parts Only-no Title Letter,Collision,Side,Minor Dent/scratches,Stationary,0 mi / not actual,12922$,12922$,Automobile,2014,Acura,Ilx 20 Tech,Silver,-,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
4350$,5J8TB3H37EL017988,2014 Acura Rdx,#70373022,Copart,США,Co - Denver,Insurance company,A / 26,2023-05-18,18:00:00,Co - Public - Salvage Title,Collision,Side,Minor Dent/scratches,Run and drive,131905 mi / actual,14699$,18633$,Automobile,2014,Acura,Rdx,Black,-,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
2000$,5J8TB3H52EL017415,2014 Acura Rdx Technology,#45442113,Copart,США,Tx - Houston,Third party,-,2023-05-19,17:00:00,Tx - Cert Of Title-rebuilt Salvage,Cds Vehicle,Damage History,-,Run and drive,124337 mi / actual,0$,0$,Automobile,2014,Acura,Rdx Technology,Black,4dr Spor,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
2000$,19UUA8F53EA006961,2014 Acura Tl Tech,#46255773,Copart,США,Al - Montgomery,Insurance company,B / 2011,2023-05-14,00:00:00,Al - Cert Of Title-salvage Title,Collision,Front End,Rear End,Run and drive,92226 mi / actual,17787$,13339$,Automobile,2014,Acura,Tl Tech,White,-,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
4050$,5FRYD3H45EB011809,2014 Acura Mdx Technology,#46802853,Copart,США,Ky - Lexington East,Insurance company,A / 30,2023-05-22,14:00:00,Ky - Cert Of Title-salvage,Collision,Front End,Minor Dent/scratches,Run and drive,155689 mi / actual,16116$,9925$,Automobile,2014,Acura,Mdx Technology,White,-,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
6500$,5FRYD4H49EB020101,2014 Acura Mdx Technology,#47963533,Copart,США,Nv - Las Vegas,Insurance company,-,2023-05-18,19:00:00,Nv - Salvage Title,Vandalism,Vandalism,-,Run and drive,112262 mi / actual,20390$,13216$,Automobile,2014,Acura,Mdx Technology,Silver,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
4250$,5FRYD4H44EB045309,2014 Acura Mdx Technology,#49140643,Copart,США,Nv - Las Vegas,Insurance company,-,2023-05-18,19:00:00,Nv - Salvage Title,Collision,Front End,-,Run and drive,104354 mi / actual,21108$,21108$,Automobile,2014,Acura,Mdx Technology,Silver,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
8500$,5FRYD4H49EB026593,2014 Acura Mdx Technology,#50395263,Copart,США,Ma - North Boston,Third party,A / 75,2023-05-19,00:00:00,In - Certificate Of Title (p),Cds Vehicle,Minor Dent/scratches,-,Run and drive,206200 mi / actual,0$,0$,Automobile,2014,Acura,Mdx Technology,Black,4dr Spor,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
2550$,JH4CU2F42EC001338,2014 Acura Tsx,#49357123,Copart,США,Ga - Fairburn,Insurance company,B / 2527,2023-05-22,14:00:00,Ga - Cert Of Title-salvage,Collision,Undercarriage,-,Engine starts,90851 mi / actual,15150$,12774$,Automobile,2014,Acura,Tsx,White,-,Front-wheel Drive,Gas,2.4 L 4 cyl,Automatic
1600$,19VDE1F34EE002206,2014 Acura Ilx 20,#45932073,Copart,США,Sc - Spartanburg,Insurance company,A / 103,2023-05-22,14:00:00,Sc - Cert Of Title-salvage,Collision,Front End,-,Run and drive,98495 mi / actual,12971$,12971$,Automobile,2014,Acura,Ilx 20,Black,Sedan 4d,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
